date,predicted_sales,lower_bound,upper_bound,actual_sales
2014-09-05,936.74,-1723.58,3560.08,394.48
2014-09-06,982.04,-1459.99,3772.94,5462.99
2014-09-07,1037.87,-1439.53,3789.6,265.51
2014-09-08,1038.89,-1536.41,3726.72,3605.68
2014-09-09,1520.43,-1268.01,4185.27,4043.5899999999997
2014-09-10,1322.18,-1427.43,3875.91,249.35999999999999
2014-09-11,1174.04,-1497.07,3858.65,1574.1000000000001
2014-09-12,1245.14,-1578.04,3945.45,1522.66
2014-10-01,1327.95,-1334.54,4045.19,54.83
2014-10-03,1123.15,-1537.18,3906.09,741.9599999999999
2014-10-05,1115.02,-1455.72,3745.11,2343.79
2014-10-06,1062.55,-1713.85,3726.52,491.55
2014-10-09,1062.42,-1681.6,3623.06,1855.2299999999998
2014-10-10,1099.5,-1435.71,3833.26,2049.37
2014-10-11,1114.23,-1568.68,3799.14,2002.56
2014-10-12,1138.6,-1400.2,3985.5,573.33
2014-11-01,1183.03,-1578.51,3774.4,9.94
2014-11-02,1191.19,-1348.89,3910.83,2043.4
2014-11-03,1142.58,-1611.4,3630.91,918.31
2014-11-04,1594.62,-854.14,4273.01,1915.23
2014-11-05,1344.28,-1123.48,3928.35,1642.79
2014-11-07,1190.65,-1610.63,3650.65,2187.21
2014-11-08,1208.26,-1360.66,3838.02,451.62
2014-11-09,1236.48,-1260.92,3784.41,127.95
2014-11-10,1208.09,-1412.33,3698.81,1381.1599999999999
2014-11-11,1682.28,-872.33,4453.69,8114.54
2014-12-02,1667.46,-1070.45,4247.76,129.57
2014-12-04,1152.71,-1640.99,3809.83,1912.1299999999999
2014-12-05,1163.12,-1506.59,3849.08,734.8499999999999
2014-12-07,1157.76,-1494.45,3717.81,1960.02
2014-12-08,1109.81,-1595.61,3773.31,1832.38
2014-12-09,1580.05,-1311.15,4041.54,4904.66
2014-12-10,1338.25,-1468.0,4076.97,58.53
2014-12-11,1161.31,-1427.48,3806.74,1054.75
2014-12-12,1230.27,-1511.41,3713.93,4938.4
2015-01-03,2564.43,-63.18,5267.57,1642.1699999999998
2015-01-05,2407.48,-255.63,5235.79,450.94
2015-01-06,2794.79,188.95,5550.36,834.2
2015-01-08,2119.13,-456.54,4910.17,1011.7
2015-01-09,2034.13,-577.87,4517.37,2367.56
2015-01-10,1915.47,-755.3,4728.85,1158.4099999999999
2015-01-11,1800.0,-791.36,4312.46,3106.1
2015-01-12,1620.58,-852.45,4381.89,7130.59
2015-02-01,1529.16,-1000.03,4356.39,1932.0900000000001
2015-02-03,2262.09,-355.5,4986.08,899.5699999999999
2015-02-04,2150.61,-558.16,4765.47,299.23
2015-02-05,2096.42,-637.95,4725.56,167.24
2015-02-07,2440.65,-265.24,5089.92,1631.8899999999999
2015-02-08,2598.45,132.24,5278.89,1290.48
2015-02-10,3290.18,794.54,5900.34,1269.26
2015-02-11,3132.63,351.03,5670.49,5528.54
2015-03-01,2388.8,-190.34,5138.77,1768.23
2015-03-02,2201.98,-435.17,4600.26,492.83
2015-03-05,1777.72,-580.94,4441.3,2198.77
2015-03-07,1536.95,-1065.58,4193.28,823.98
2015-03-09,1233.96,-1330.78,3886.05,1874.8999999999999
2015-03-10,1596.97,-1168.33,4218.87,275.22
2015-03-11,1202.41,-1384.81,3888.5,2800.85
2015-03-12,872.8,-1753.2,3351.68,1972.63
2015-04-01,995.82,-1426.88,3865.17,264.46000000000004
2015-04-04,1140.31,-1647.28,3647.33,1484.6
2015-04-05,1269.61,-1430.99,3936.44,1121.3600000000001
2015-04-06,1335.06,-1363.7,3844.84,1192.31
2015-04-07,1948.38,-603.13,4379.57,1138.29
2015-04-09,1673.15,-1110.48,4193.47,1071.29
2015-04-10,1811.58,-766.77,4603.58,505.58
2015-04-12,2019.13,-836.43,4508.74,5185.81
2015-05-01,1671.52,-1093.03,4311.57,295.27
2015-05-03,1550.3,-1038.38,4247.14,1969.27
2015-05-04,1436.03,-1288.22,3971.42,2974.0499999999997
2015-05-06,1555.1,-1004.4,4237.6,1533.2
2015-05-07,1292.73,-1313.65,3790.96,121.64999999999999
2015-05-08,1297.42,-1512.64,3877.29,72.65
2015-05-09,1283.09,-1429.48,3949.33,934.0999999999999
2015-05-10,1286.76,-1280.99,3885.85,851.09
2015-05-11,1233.29,-1380.77,3813.33,834.87
2015-05-12,1748.26,-834.48,4174.25,897.3100000000001
2015-06-01,1414.08,-1248.58,4073.81,31.540000000000003
2015-06-02,1873.66,-649.39,4529.9,2432.54
2015-06-03,1526.09,-1107.14,4063.63,1555.24
2015-06-04,1236.27,-1396.87,3867.49,140.01
2015-06-07,1098.34,-1552.94,3480.57,1379.81
2015-06-08,984.36,-1669.08,3632.59,494.87
2015-06-09,1443.41,-1243.94,4126.57,1005.65
2015-06-11,829.0,-1828.17,3412.97,11.48
2015-06-12,826.6,-1858.33,3383.59,6061.49
2015-07-02,1383.7,-1239.88,4161.06,324.10999999999996
2015-07-03,1440.34,-1202.33,3973.78,807.54
2015-07-04,1460.03,-1210.99,4097.54,907.4399999999999
2015-07-05,1481.04,-1222.05,4149.42,305.63
2015-07-06,1426.31,-1331.44,4078.81,59.769999999999996
2015-07-08,1634.76,-1105.09,4119.54,968.1999999999999
2015-07-09,1383.81,-1314.99,4029.25,2922.67
2015-07-11,1376.06,-1345.65,3900.52,3073.07
2015-07-12,1363.35,-1291.4,3910.59,1338.3
2015-08-02,1936.85,-842.45,4432.6,129.09
2015-08-03,1942.77,-544.56,4576.7,2563.3
2015-08-05,2276.74,-89.23,4752.64,3981.96
2015-08-06,2078.2,-592.9,4639.28,1083.1200000000001
2015-08-07,2141.1,-543.45,4828.04,21.12
2015-08-08,2163.02,-518.44,4643.86,840.1
2015-08-09,2182.48,-555.21,5105.06,89.64
2015-08-10,2120.34,-442.25,4639.86,222.12
2015-08-11,2635.98,-146.92,5446.32,12196.99
2015-08-12,2305.33,-317.01,5065.95,2672.73
2015-09-01,1538.47,-1232.9,4108.77,364.07
2015-09-02,1253.58,-1318.09,3868.89,785.55
2015-09-03,1042.29,-1620.74,3641.15,478.01
2015-09-04,1115.07,-1396.55,3726.48,757.99
2015-09-05,1164.48,-1506.68,3753.19,48.81
2015-09-06,1228.84,-1414.99,3827.34,797.12
2015-09-07,1226.65,-1552.34,4100.72,1587.1100000000001
2015-09-08,1825.94,-911.87,4401.2,4878.400000000001
2015-09-10,1396.14,-1070.1,3942.89,2133.53
2015-09-11,1488.61,-1325.55,4137.01,4620.29
2015-09-12,1547.49,-1083.18,4090.39,34.02
2015-10-01,1417.01,-1453.56,3934.84,1018.1
2015-10-02,1426.6,-1136.8,3951.12,77.24
2015-10-03,1408.98,-1142.31,3923.45,90.92999999999999
2015-10-04,1404.91,-1227.08,4000.94,169.54
2015-10-05,1333.48,-1408.56,3863.89,154.44
2015-10-07,1559.88,-1239.58,4177.21,43.29
2015-10-08,1315.49,-1509.0,3754.28,851.47
2015-10-09,1356.5,-1526.98,4098.36,1415.73
2015-10-10,1370.43,-1183.78,4119.12,2248.2
2015-10-11,1397.13,-1305.34,4047.88,3536.9
2015-10-12,1354.38,-1303.78,3939.24,3080.38
2015-11-04,1660.83,-1170.61,4307.74,1328.3500000000001
2015-11-05,1416.28,-1113.99,3963.13,191.97
2015-11-06,1460.64,-1078.51,3802.09,3373.56
2015-11-07,1477.41,-1325.59,4087.26,1941.95
2015-11-08,1507.53,-893.05,4052.95,196.11
2015-11-09,1468.05,-1188.56,4148.62,1962.13
2015-11-10,2050.82,-776.59,4658.01,1011.9000000000001
2015-11-11,1760.14,-791.38,4525.68,542.18
2015-11-12,1538.5,-1056.6,4271.06,1590.9
2015-12-01,2103.63,-386.65,4951.44,854.62
2015-12-03,1461.44,-1217.21,3960.38,51.019999999999996
2015-12-04,1467.61,-1135.42,4274.7,40.74
2015-12-05,1446.78,-1468.69,3920.73,1060.34
2015-12-06,1442.07,-1266.76,4039.6,174.48
2015-12-07,1370.97,-1251.84,3826.14,2052.57
2015-12-09,1624.38,-771.46,4203.02,707.82
2015-12-10,1391.02,-1334.35,4131.92,2390.7599999999998
2015-12-11,1460.05,-1126.46,4217.39,1127.99
2015-12-12,1509.56,-1121.86,4109.66,1448.8600000000001
2016-01-02,3203.82,660.12,5950.06,161.97
2016-01-03,3179.18,768.91,5788.19,6285.8
2016-01-04,3059.1,441.69,5624.54,2161.47
2016-01-05,3556.11,898.22,6256.39,517.86
2016-01-07,2764.06,179.7,5461.27,1724.38
2016-01-08,2674.02,-33.68,5160.28,1124.65
2016-01-09,2539.41,-127.03,5098.87,5766.160000000001
2016-01-10,2405.15,-293.34,5008.03,781.42
2016-01-11,2188.69,-661.13,4807.22,453.37
2016-01-12,2607.23,-10.17,5260.77,7365.46
2016-02-01,1766.1,-817.89,4481.44,405.91999999999996
2016-02-02,2530.91,32.83,5268.88,8996.78
2016-02-04,2322.18,-455.37,4936.04,1454.9
2016-02-05,2554.13,-38.19,5168.38,1098.1399999999999
2016-02-06,2751.28,169.84,5278.77,157.84
2016-02-07,2953.5,409.74,5604.59,772.78
2016-02-08,3071.48,456.35,5641.51,482.58000000000004
2016-02-09,3826.33,1191.04,6342.01,6792.21
2016-02-10,3652.23,1012.32,6362.74,18452.97
2016-02-12,3696.74,945.76,6204.34,4684.61
2016-03-01,3315.48,704.91,6175.72,2095.83
2016-03-02,2813.09,138.14,5209.19,866.4
2016-03-03,2379.01,-248.11,5015.77,7264.42
2016-03-04,2246.34,-448.87,4807.39,441.2
2016-03-05,2081.13,-283.16,4843.47,1099.02
2016-03-06,1928.2,-557.1,4580.23,71.09
2016-03-07,1701.22,-966.32,4416.55,847.6999999999999
2016-03-08,2134.38,-436.67,4813.41,248.82
2016-03-09,1645.56,-884.4,4262.53,2365.59
2016-03-10,1234.55,-1399.57,3954.37,1680.6999999999998
2016-03-11,1134.65,-1513.17,3736.91,3802.8
2016-03-12,1010.32,-1522.25,3877.33,5269.82
2016-04-01,1074.36,-1538.15,3668.8,1069.22
2016-04-02,1210.99,-1592.64,3867.58,197.87
2016-04-03,1363.11,-1156.22,3906.69,315.45
2016-04-04,1440.24,-1261.04,4095.98,970.1899999999999
2016-04-06,1985.13,-739.78,4515.6,2316.5099999999998
2016-04-07,1857.31,-989.89,4493.71,1651.3
2016-04-08,2032.15,-583.45,4658.82,497.9
2016-04-09,2167.14,-559.04,4864.44,4532.04
2016-04-10,2304.54,-201.75,4651.73,5912.78
2016-04-11,2353.62,-371.4,4920.02,3888.8199999999997
2016-04-12,3056.96,385.11,5660.3,944.29
2016-05-01,1972.4,-808.66,4429.69,255.9
2016-05-02,1825.85,-740.73,4530.78,2994.48
2016-05-03,2357.33,-256.31,4826.91,162.34
2016-05-04,1946.28,-728.39,4563.45,1046.33
2016-05-05,1617.09,-997.11,4273.09,2701.29
2016-05-06,1608.64,-1135.33,4281.34,659.8199999999999
2016-05-08,1566.84,-1095.13,4264.03,197.05
2016-05-09,1488.42,-1110.7,4219.63,5226.36
2016-05-11,1757.59,-909.64,4419.78,4266.9
2016-05-12,1503.13,-1207.01,4209.18,5267.01
2016-06-02,1575.45,-1039.18,4093.96,132.22
2016-06-03,1542.75,-1118.03,4046.22,811.3
2016-06-04,1472.63,-1323.31,3910.37,1294.75
2016-06-05,1412.01,-1116.58,4102.83,236.97
2016-06-06,1271.6,-1328.76,3844.52,6026.3099999999995
2016-06-08,1398.48,-1216.09,3919.99,320.39
2016-06-09,1061.49,-1494.44,3656.8,1313.52
2016-06-10,1047.1,-1676.26,3584.83,830.4000000000001
2016-06-11,1006.84,-1839.76,3633.18,773.25
2016-06-12,987.03,-1667.55,3541.45,3878.27
2016-07-01,1685.88,-868.25,4177.02,83.58
2016-07-02,1720.32,-871.63,4295.15,762.1400000000001
2016-07-03,1756.36,-831.96,4435.21,21.07
2016-07-04,1701.74,-997.67,4320.14,1970.58
2016-07-05,2327.49,-260.85,5049.35,4835.969999999999
2016-07-06,1969.07,-580.41,4706.49,51.56
2016-07-07,1677.58,-888.57,4361.22,3882.2300000000005
2016-07-08,1698.27,-1001.38,4313.11,179.97
2016-07-10,1665.67,-813.29,4246.25,973.71
2016-07-11,1568.69,-1001.66,4130.34,3810.4700000000003
2016-08-01,2216.97,-485.9,4800.45,1859.16
2016-08-02,2922.4,414.24,5622.45,1369.48
2016-08-03,2633.48,-27.6,5215.41,2190.81
2016-08-04,2410.84,-399.15,5147.46,2906.39
2016-08-05,2500.0,154.05,5112.64,1340.25
2016-08-07,2581.45,-159.05,5178.0,2616.52
2016-08-08,2524.8,-158.23,5158.1,1115.2
2016-08-09,3153.27,555.85,5807.28,4493.99
2016-08-10,2777.86,175.57,5398.05,561.53
2016-08-11,2464.2,-197.47,5184.09,993.9000000000001
2016-08-12,2460.63,-73.73,5018.4,4709.08
2016-09-01,1192.83,-1449.41,3866.52,743.05
2016-09-02,1266.25,-1302.54,3824.05,121.83
2016-09-03,1313.76,-1094.29,4017.57,635.6
2016-09-04,1380.84,-1369.5,3990.72,1115.19
2016-09-05,1371.41,-1217.15,3882.81,1283.51
2016-09-06,2074.47,-537.23,4541.94,1688.4700000000003
2016-09-07,1780.24,-859.21,4371.54,573.29
2016-09-08,1564.33,-1212.82,4126.73,661.36
2016-09-09,1675.47,-887.07,4311.14,84.99
2016-09-10,1748.97,-646.24,4301.12,546.93
2016-09-11,1830.14,-689.29,4337.15,479.97
2016-09-12,1822.65,-837.37,4288.57,1855.4899999999998
2016-10-01,1694.93,-851.8,4475.36,174.75
2016-10-03,1592.74,-1154.21,4220.74,7879.73
2016-10-04,2221.94,-215.63,4893.03,950.5899999999999
2016-10-05,1844.47,-730.83,4424.05,763.0200000000001
2016-10-06,1549.87,-1073.51,4163.01,1412.4
2016-10-07,1591.36,-1119.65,4218.55,895.9000000000001
2016-10-09,1627.66,-1119.84,4200.69,2094.32
2016-10-10,1572.99,-861.02,4222.09,282.75
2016-10-11,2238.62,-620.92,4893.36,4723.49
2016-10-12,1891.82,-826.51,4325.45,3459.71
2016-11-01,2322.44,-109.7,5121.77,149.44
2016-11-02,1949.01,-831.34,4529.1,69.93
2016-11-03,1657.12,-882.85,4334.51,896.03
2016-11-05,1717.14,-947.27,4413.62,5.98
2016-11-06,1746.52,-933.79,4448.87,1623.4
2016-11-08,2371.88,-395.37,4825.7,151.82
2016-11-09,2026.9,-504.01,4739.07,6501.6
2016-11-10,1763.73,-983.45,4490.47,33.06
2016-11-11,1838.49,-680.17,4744.17,4944.29
2016-11-12,1878.29,-574.17,4411.63,6102.26
2016-12-02,1762.38,-808.75,4474.23,1366.04
2016-12-03,1730.89,-898.94,4246.74,1694.6399999999999
2016-12-04,1715.95,-846.84,4568.89,1542.52
2016-12-05,1621.38,-1021.9,4116.07,918.88
2016-12-06,2268.37,-263.91,4904.65,2962.55
2016-12-07,1888.34,-705.0,4573.55,95.76
2016-12-08,1599.32,-1053.9,4148.84,3951.9500000000003
2016-12-09,1662.12,-1070.02,4349.03,2043.7899999999997
2016-12-11,1766.61,-735.9,4433.87,4914.93
2016-12-12,1759.52,-784.85,4411.41,1981.11
2017-01-01,3758.33,1182.23,6525.04,1481.83
2017-01-04,3788.4,1530.01,6441.19,5972.98
2017-01-05,3381.75,529.81,6006.09,4108.37
2017-01-06,3297.9,627.54,6051.05,5058.36
2017-01-07,3158.87,717.85,5765.31,639.83
2017-01-08,3016.48,373.85,5445.69,2085.65
2017-01-09,2774.41,176.2,5474.37,1261.81
2017-01-10,3266.41,594.42,5767.07,2978.4700000000003
2017-01-11,2701.96,35.84,5512.19,2921.43
2017-01-12,2216.37,-225.59,4894.49,5331.18
2017-02-01,2503.9,13.55,5180.7,2079.54
2017-02-02,2418.84,-360.6,5004.07,913.35
2017-02-03,2685.57,113.47,5330.23,1450.1399999999999
2017-02-04,2916.27,272.69,5637.5,822.97
2017-02-05,3157.14,487.85,5887.05,399.11
2017-02-06,3304.36,635.08,5737.86,135.7
2017-02-07,4193.99,1542.83,6684.0,169.19
2017-02-09,3892.56,996.36,6412.65,9354.86
2017-02-10,4105.75,1547.48,6745.54,5418.0199999999995
2017-02-11,4261.81,1670.19,6880.77,6294.389999999999
2017-02-12,4408.69,1914.07,6955.84,9951.19
2017-03-01,3503.79,961.58,6236.63,2070.27
2017-03-02,3004.37,402.1,5666.25,922.3199999999999
2017-03-03,2851.67,291.76,5521.44,2000.1
2017-03-04,2659.17,-64.89,5410.04,32.53
2017-03-05,2478.86,-151.14,5194.15,1386.3500000000001
2017-03-06,2210.94,-406.2,4920.25,2952.03
2017-03-07,2705.19,61.81,5319.99,6963.41
2017-03-08,2130.78,-736.76,4779.42,531.35
2017-03-09,1644.9,-1049.79,4169.34,1595.8500000000001
2017-03-10,1517.55,-1085.82,4338.2,2504.48
2017-03-11,1360.59,-1196.51,4020.63,4536.9400000000005
2017-03-12,1225.52,-1455.42,3620.06,1403.8400000000001
2017-04-02,1381.04,-1376.74,4134.11,32.67
2017-04-03,1464.64,-1162.41,4304.58,228.82
2017-04-04,2319.17,-242.46,4991.37,808.47
2017-04-05,2091.1,-359.48,4507.94,1389.4
2017-04-06,1946.13,-525.75,4494.91,279.41
2017-04-08,2317.63,-161.7,4711.49,20.069999999999997
2017-04-09,2487.15,-286.07,5066.16,5360.18
2017-04-10,2557.16,-127.12,5096.16,19.98
2017-04-11,3384.92,940.34,6054.33,10668.09
2017-04-12,3112.38,647.64,5573.56,2639.64
2017-05-02,2832.38,276.66,5471.21,2263.01
2017-05-03,2346.69,-303.7,5096.27,1240.02
2017-05-05,1929.0,-739.59,4599.76,185.12
2017-05-06,1876.52,-790.43,4390.81,491.12
2017-05-07,1848.46,-816.48,4321.75,476.34999999999997
2017-05-08,1741.5,-900.67,4405.15,503.67999999999995
2017-05-09,2423.89,-389.89,4885.17,327.04
2017-05-10,2020.11,-661.75,4683.47,6684.610000000001
2017-05-11,1712.54,-827.84,4288.31,2355.06
2017-05-12,1775.29,-796.48,4190.44,1453.15
2017-06-01,1914.24,-784.05,4625.76,33.74
2017-06-02,1883.1,-780.12,4289.38,904.35
2017-06-03,1806.46,-717.87,4690.08,778.24
2017-06-04,1738.21,-903.79,4258.22,114.41999999999999
2017-06-05,1575.48,-1028.54,4228.54,3183.37
2017-06-06,2197.36,-328.19,4882.0,31.349999999999998
2017-06-07,1711.53,-858.09,4307.08,380.39
2017-06-08,1315.06,-1425.59,3971.05,1424.0300000000002
2017-06-10,1228.64,-1386.53,3954.58,1499.65
2017-06-11,1191.56,-1400.18,3651.7,4288.74
2017-06-12,1072.6,-1431.58,3923.94,10.68
2017-07-01,1937.21,-698.26,4472.19,3395.59
2017-07-03,1941.46,-697.61,4506.41,166.59
2017-07-04,2673.16,65.35,5286.47,1971.29
2017-07-05,2273.14,-606.87,4924.35,2549.46
2017-07-07,1982.08,-649.41,4570.63,1620.25
2017-07-08,1967.02,-747.33,4705.16,3479.62
2017-07-09,1957.76,-729.15,4626.2,3848.57
2017-07-10,1849.69,-661.38,4513.99,2749.2
2017-07-11,2532.59,-296.35,5310.42,2413.37
2017-07-12,2090.05,-466.91,4769.81,2916.51
2017-08-01,3248.67,704.93,6000.81,892.98
2017-08-03,2684.11,176.99,5269.5,843.1
2017-08-04,2801.08,206.82,5396.87,6401.93
2017-08-05,2865.57,283.53,5664.45,3658.5499999999997
2017-08-06,2929.15,406.32,5619.8,2227.05
2017-08-07,2883.3,288.88,5558.98,1980.27
2017-08-09,3213.24,541.26,6071.92,2184.33
2017-08-10,2873.03,42.67,5493.29,608.35
2017-08-11,2887.7,261.0,5434.52,384.1
2017-08-12,2846.15,272.98,5566.22,7643.04
2017-09-01,1409.99,-1104.08,4010.8,274.49
2017-09-02,1449.69,-1280.18,3945.78,773.75
2017-09-03,1513.71,-1053.53,4155.9,710.8000000000001
2017-09-04,1492.23,-1082.98,4070.72,1626.71
2017-09-05,2289.26,-379.05,4912.76,1078.22
2017-09-06,1946.42,-625.04,4616.16,939.13
2017-09-07,1695.89,-874.3,4364.43,1671.21
2017-09-09,1908.54,-681.22,4622.38,4356.07
2017-09-10,2005.7,-575.35,4842.64,1496.5900000000001
2017-09-11,2003.5,-578.56,4788.55,4751.5
2017-09-12,2808.1,56.65,5447.41,5470.4
2017-10-02,1858.74,-973.84,4490.81,227.1
2017-10-03,2570.78,-8.27,5245.53,1252.9499999999998
2017-10-04,2130.9,-583.22,4788.96,755.53
2017-10-06,1825.06,-850.81,4328.34,2513.34
2017-10-07,1829.09,-828.71,4370.5,359.2099999999999
2017-10-08,1851.82,-629.91,4563.63,1823.0700000000002
2017-10-09,1783.1,-782.38,4260.55,2506.65
2017-10-10,2539.04,-49.4,5093.17,239.36
2017-10-11,2138.45,-779.9,4905.75,4007.54
2017-10-12,1829.67,-773.4,4436.16,3873.56
2017-11-02,1897.04,-769.69,4657.27,1241.53
2017-11-03,1944.17,-714.87,4538.6,1973.7
2017-11-04,1953.59,-641.17,4696.08,319.8
2017-11-05,1980.58,-566.12,4535.08,449.48
2017-11-06,1914.69,-861.38,4567.26,1580.89
2017-11-07,2681.63,43.61,5324.6,1728.8899999999999
2017-11-08,2281.74,-385.25,4943.78,708.71
2017-11-09,1975.99,-451.6,4558.23,5564.0
2017-11-11,2099.34,-818.95,4722.64,1815.2199999999998
2017-11-12,2156.91,-301.0,4957.27,2823.96
2017-12-01,2071.87,-663.61,4734.82,848.52
2017-12-03,2006.74,-768.71,4488.53,353.28
2017-12-04,1888.9,-720.57,4545.15,69.66
2017-12-05,2614.21,51.87,5231.83,970.38
2017-12-06,2166.06,-462.45,4934.37,1679.98
2017-12-07,1819.68,-960.65,4451.81,3.82
2017-12-08,1872.76,-1031.5,4451.03,3693.0800000000004
2017-12-09,1897.77,-724.77,4572.37,491.54999999999995
2017-12-10,1951.32,-754.74,4631.26,5635.34
2017-12-11,1922.13,-674.83,4641.46,2911.38
2017-12-12,2747.24,12.24,5477.21,
2017-12-13,2403.19,-125.84,5150.32,
2017-12-14,2165.9,-390.07,4886.05,
2017-12-15,2331.15,-336.1,4796.56,
2017-12-16,2467.64,-132.68,5260.51,
2017-12-17,2629.24,-38.43,5328.65,
2017-12-18,2701.47,-30.99,5072.5,
2017-12-19,3620.72,1189.71,6116.72,
2017-12-20,3356.0,681.03,5780.85,
2017-12-21,3183.66,475.52,5906.95,
2017-12-22,3397.89,816.61,5927.66,
2017-12-23,3564.41,793.54,6145.85,
2017-12-24,3735.61,1054.97,6293.24,
2017-12-25,3795.62,942.49,6247.02,
2017-12-26,4682.4,1962.0,7242.79,
2017-12-27,4360.02,1674.5,6983.43,
2017-12-28,4108.24,1432.87,6748.4,
2017-12-29,4222.85,1707.57,6889.89,
2017-12-30,4270.0,1769.8,7062.92,
2017-12-31,4304.16,1713.69,6837.19,
2018-01-01,4211.59,1588.7,6787.9,
2018-01-02,4935.28,2417.3,7527.53,
2018-01-03,4437.69,1787.03,6978.69,
2018-01-04,4005.07,1492.89,6792.24,
2018-01-05,3937.58,1273.87,6626.09,
